Data,Timestamp,entrada
266.66,3438.08,10
266.94,3438.13,10
268.16,3438.18,10
266.47,3438.23,10
266.75,3438.29,10
267.59,3438.34,10
267.03,3438.39,10
265.64,3438.45,10
266.66,3438.5,10
267.88,3438.55,10
266.47,3438.6,10
266.56,3438.66,10
266.47,3438.71,10
267.12,3438.76,10
266.19,3438.81,10
267.88,3438.87,10
266.75,3438.92,10
267.12,3438.97,10
266.84,3439.03,10
266.75,3439.08,10
267.03,3439.13,10
266.56,3439.18,10
267.31,3439.24,10
266.94,3439.29,10
267.31,3439.35,10
266.94,3439.4,10
266.56,3439.45,10
267.03,3439.51,10
266.94,3439.56,10
266.84,3439.61,10
267.31,3439.67,10
266.75,3439.73,10
267.31,3439.78,10
266.75,3439.83,10
267.12,3439.89,10
266.94,3439.95,10
266.47,3440.0,10
267.03,3440.06,10
266.94,3440.11,10
267.5,3440.16,10
266.47,3440.21,10
266.75,3440.27,10
266.38,3440.32,10
266.66,3440.37,10
266.28,3440.42,10
268.83,3440.48,10
263.1,3440.53,10
266.47,3440.58,10
266.47,3440.63,10
267.03,3440.69,10
266.47,3440.75,10
266.47,3440.8,10
266.84,3440.86,10
267.03,3440.91,10
266.84,3440.96,10
266.56,3441.01,10
266.75,3441.07,10
267.12,3441.12,10
266.66,3441.18,10
267.03,3441.23,10
266.56,3441.28,10
266.75,3441.33,10
267.31,3441.39,10
266.56,3441.44,10
266.94,3441.49,10
266.47,3441.55,10
266.47,3441.6,10
267.12,3441.66,10
266.94,3441.71,10
267.12,3441.76,10
267.12,3441.82,10
267.41,3441.88,10
266.66,3441.93,10
267.03,3441.98,10
266.1,3442.03,10
267.97,3442.09,10
266.38,3442.14,10
266.38,3442.19,10
267.03,3442.25,10
266.56,3442.3,10
269.6,3442.36,10
266.94,3442.41,10
267.12,3442.46,10
267.41,3442.51,10
266.56,3442.56,10
267.03,3442.62,10
266.75,3442.67,10
267.12,3442.73,10
266.66,3442.78,10
266.66,3442.83,10
267.12,3442.88,10
266.56,3442.93,10
267.41,3442.99,10
266.47,3443.04,10
266.84,3443.09,10
266.94,3443.15,10
266.66,3443.21,10
266.94,3443.26,10
267.12,3443.31,10
267.5,3443.36,10
267.12,3443.41,10
266.47,3443.47,10
266.66,3443.52,10
266.56,3443.58,10
266.66,3443.63,10
266.94,3443.68,10
266.66,3443.74,10
266.66,3443.79,10
266.56,3443.84,10
266.66,3443.89,10
266.47,3443.95,10
263.82,3444.0,10
264.45,3444.06,10
267.12,3444.11,10
266.66,3444.16,10
267.12,3444.22,10
266.56,3444.27,10
267.03,3444.33,10
